Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	156.434739
1	CPI Rate	1.129614
1	Average CPU Frequency	2594113585.945064
1	Total Thread Count	40
0	Effective Physical Core Utilization	97.7% (19.532 out of 20)
1	Effective Logical Core Utilization	97.5% (39.011 out of 40)
0	Memory Bound	28.0
1	Cache Bound	18.0
1	DRAM Bound	N/A with HT on
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	126.000000	20.300000	7.564880	0.0
1	DRAM Single-Package, GB/sec	63.000000	14.600000	7.942737	0.0
0	Collection and Platform Info	
1	Application Command Line	./tasks.mtp "3840" "2160" "900" "hype5/3840x2160/tasks/900/40/2/output.png" 
1	Operating System	6.1.0-28-amd64 12.12
1	Computer Name	hype5
1	Result Size	796659531
1	Collection start time	02:34:37 22/09/2025 UTC
1	Collection stop time	02:37:14 22/09/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) E5/E7 v3 Processor code named Haswell
2	Frequency	2294686029
2	Logical CPU Count	40
2	Max DRAM Single-Package Bandwidth	63000000000.000000
