Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	0.588176
1	CPI Rate	0.651387
1	Average CPU Frequency	2630850288.535032
1	Total Thread Count	20
0	Effective Physical Core Utilization	32.8% (6.567 out of 20)
1	Effective Logical Core Utilization	20.1% (8.026 out of 40)
0	Memory Bound	16.1
1	Cache Bound	13.0
1	DRAM Bound	N/A with HT on
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	122.000000	3.800000	0.561057	0.0
1	DRAM Single-Package, GB/sec	61.000000	3.700000	0.714072	0.0
0	Collection and Platform Info	
1	Application Command Line	./collapse.mtp "640" "480" "30" "hype5/640x480/collapse/30/20/3/output.png" 
1	Operating System	6.1.0-28-amd64 12.12
1	Computer Name	hype5
1	Result Size	6563926
1	Collection start time	06:07:53 22/09/2025 UTC
1	Collection stop time	06:07:53 22/09/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) E5/E7 v3 Processor code named Haswell
2	Frequency	2294686085
2	Logical CPU Count	40
2	Max DRAM Single-Package Bandwidth	61000000000.000000
