Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	3.002269
1	CPI Rate	0.479128
1	Average CPU Frequency	2985809500.516075
1	Total Thread Count	1
0	Effective Physical Core Utilization	5.0% (1.001 out of 20)
1	Effective Logical Core Utilization	2.5% (0.987 out of 40)
0	Memory Bound	17.9
1	Cache Bound	7.9
1	DRAM Bound	N/A with HT on
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	120.000000	0.500000	0.0	0.0
1	DRAM Single-Package, GB/sec	60.000000	0.300000	0.0	0.0
0	Collection and Platform Info	
1	Application Command Line	./collapse.mtp "640" "480" "30" "hype5/640x480/collapse/30/1/1/output.png" 
1	Operating System	6.1.0-28-amd64 12.12
1	Computer Name	hype5
1	Result Size	7114237
1	Collection start time	22:51:16 21/09/2025 UTC
1	Collection stop time	22:51:19 21/09/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) E5/E7 v3 Processor code named Haswell
2	Frequency	2294685845
2	Logical CPU Count	40
2	Max DRAM Single-Package Bandwidth	60000000000.000000
