Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	86.297364
1	CPI Rate	6.028782
1	Average CPU Frequency	2594185951.988505
1	Total Thread Count	40
0	Effective Physical Core Utilization	96.3% (19.260 out of 20)
1	Effective Logical Core Utilization	96.2% (38.477 out of 40)
0	Memory Bound	66.6
1	Cache Bound	56.7
1	DRAM Bound	N/A with HT on
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	126.000000	25.800000	2.909011	0.0
1	DRAM Single-Package, GB/sec	63.000000	15.900000	1.939109	0.0
0	Collection and Platform Info	
1	Application Command Line	./tasks.mtp "3840" "2160" "30" "hype5/3840x2160/tasks/30/40/2/output.png" 
1	Operating System	6.1.0-28-amd64 12.12
1	Computer Name	hype5
1	Result Size	441689321
1	Collection start time	05:21:02 22/09/2025 UTC
1	Collection stop time	05:22:28 22/09/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) E5/E7 v3 Processor code named Haswell
2	Frequency	2294686034
2	Logical CPU Count	40
2	Max DRAM Single-Package Bandwidth	63000000000.000000
